Date,PC1_B,PC2_B,PC3_B,PC4_B
2006-02-01,-0.4366142811599357,0.060731863251888396,0.04767435874784134,-0.11807587165347869
2006-03-01,-0.007473373059580019,-0.16375861399359323,-0.12192333038007386,0.029985706487479766
2006-04-01,0.18381683600461085,0.002206693803624133,-0.11573072652820032,0.08837054305448563
2006-05-01,1.8936204703327315,0.3284406985802584,-0.9648659151838046,-0.6936922866354468
2006-06-01,-0.9835607502483786,-0.5079654796147249,0.661862387355175,-0.11677184062162715
2006-07-01,-0.5607499635976204,0.5498587114058133,0.7083168865508277,0.5333238178047568
2006-08-01,-0.4827480606824692,-0.2926843373214074,-0.10854997779341749,0.04473494436546759
2006-09-01,-0.7143621577583672,-0.03162588096716693,0.6172156004663001,-0.6544019764440236
2006-10-01,-0.7244428682206789,0.07586743242493421,0.38265509880311166,0.1762708904829362
2006-11-01,0.5283473146364485,-0.09811773109714354,-0.4216995121717711,0.4543497456314688
2006-12-01,-0.35184095750089844,0.13739913675024998,0.43080875054377665,-0.2221842058777045
2007-01-01,-0.31784509759892554,-0.024293916878038828,-0.05310608587936037,0.264147139672418
2007-02-01,0.42363386479759435,0.8110580823192822,0.10636745259791891,-0.36896153761514283
2007-03-01,0.19013353928063484,-0.31717147427436493,0.2598053162154139,0.4230237231032298
2007-04-01,-0.6257789524806606,0.15845383818097222,0.1789012142703384,-0.11372951931032999
2007-05-01,-0.2047585352963454,-0.25684791117602945,0.07119605809509894,-0.4321764874987565
2007-06-01,0.5337424925488177,0.2754066118680312,0.35936072267296,-0.11684140857316688
2007-07-01,1.3898605307007925,0.9181262108596938,0.17428835104028728,0.480517331188822
2007-08-01,2.303439264589898,-1.4411020539433095,0.5903973098346881,0.5638568173021907
2007-09-01,-0.7567673245733275,-1.0971784669168658,0.6439052046355218,-0.158687212709554
2007-10-01,0.012342246690274221,0.44106689782551717,-0.9205621313413891,-0.18035347201758414
2007-11-01,2.0761329755127136,-0.17844548817294303,0.2743640970413021,0.47299466993677675
2007-12-01,0.13836652959255596,-0.3397148719067693,0.6496276758478166,0.46056623480397724
2008-01-01,0.3922704086715048,0.829776111108756,-0.586466913674715,-0.1820597526746832
2008-02-01,0.33605371517959426,0.09939300310218427,-0.4066719813250294,0.30590309492638806
2008-03-01,1.8255972182579674,-1.1575298824552247,0.027681817349907382,0.4597112253305913
2008-04-01,-1.753532116529919,-0.2856118153884612,0.1405349566960751,-0.537820169199277
2008-05-01,-1.1087790639305066,0.16270907396801526,-0.8971575983521556,-0.6997173123482698
2008-06-01,0.6572861370799468,0.7652862125440785,0.8614911367476995,0.35327853404635257
2008-07-01,-0.46584851316561504,-0.30366963526953517,0.7128406813874776,-0.3003077354989363
2008-08-01,0.45514421619661893,-0.43645689599613186,-0.7361605085072851,0.3429679657487861
2008-09-01,6.6841267271379134,0.716009407085958,-0.26987175982604017,-0.036304224239393175
2008-10-01,14.569311863159909,-3.5896657121241544,0.5356681028901136,-0.32299003537591986
2008-11-01,-3.3184400054882923,0.9913626066043248,-1.4897870575245593,-2.1620651103933652
2008-12-01,-1.8320712354262714,-1.7267291487234666,-1.6308544722400324,0.859102541312448
