Date,PC1_C,PC2_C,PC3_C,PC4_C,PC5_C
2006-02-01,-0.48755788646818315,-0.24139441600469982,-0.03534170478929036,0.0606968552257594,-0.11107978813072643
2006-03-01,-0.01442617081182256,0.012511662858091912,-0.17935093944952468,-0.10874860412740887,0.032002135748352735
2006-04-01,0.23300643859438963,0.23607571492642862,0.08938269483982966,-0.1353721240813458,0.07693654152357338
2006-05-01,1.8086955033446843,-0.7168753105619546,0.01777747624061929,-0.9400521419397097,-0.6905464223388587
2006-06-01,-0.9224358508112012,0.557796914488715,-0.29604619340774097,0.6688112723831351,-0.11439320590946699
2006-07-01,-0.5753860064444064,-0.1586340708031057,0.576346473727933,0.6617129446892887,0.5278936885065261
2006-08-01,-0.5174096395323603,-0.05281783530678133,-0.34840748756355727,-0.0773880839830468,0.053955817503508655
2006-09-01,-0.7153522084382372,0.06930344309727024,0.013858758655822201,0.6201281278884848,-0.6488408326704002
2006-10-01,-0.7045561111309016,0.15300764929861213,0.1592820492306205,0.3624063970345247,0.17182806026760195
2006-11-01,0.5011754282205261,-0.15311676627895818,-0.17953004449469467,-0.4072212558278626,0.4557269714682624
2006-12-01,-0.3566983963340238,-0.02620147653909862,0.15708897344077316,0.4204034741654128,-0.22153314510154268
2007-01-01,-0.28592698996018423,0.2003382607708338,0.0472785874941206,-0.0680467259660983,0.25597697897685434
2007-02-01,0.35474815035761176,-0.6233804067592896,0.630070058243143,0.07724024971842947,-0.37149866715299273
2007-03-01,0.23070594967076083,0.3026595913385767,-0.19309672871500008,0.26024749724401874,0.4218573060633811
2007-04-01,-0.6411570061166783,-0.06999751881429234,0.1424366963267101,0.17047511927950854,-0.11426548453342034
2007-05-01,-0.2192173098423124,0.01445786356323619,-0.275484604138225,0.09721347368111889,-0.4243661607921099
2007-06-01,0.5110805408181985,-0.2272308619973766,0.23622029304299486,0.3472765593690436,-0.11560735412705057
2007-07-01,1.3072092526623957,-0.7834259919903872,0.7165240073576528,0.13541571466091654,0.4778689133379353
2007-08-01,2.414896575337028,0.8399222194243549,-1.1271554680122862,0.6465663104863536,0.5765898584649592
2007-09-01,-0.6368590144833948,1.0110644614747781,-0.7476923418443686,0.6721682340924889,-0.15523777049441223
2007-10-01,-0.09363743390415985,-0.6986986367157956,0.1294996519291557,-0.9067084333547489,-0.17842285664223195
2007-11-01,2.05181349328824,-0.2155616801610795,-0.2167060464785942,0.2932191006478152,0.4829246710082063
2007-12-01,0.19826084593250437,0.42409823364112315,-0.1422113897954816,0.6416839434277299,0.4594806560211137
2008-01-01,0.536327607435738,0.441281588326563,1.0182586828378468,-0.693950065638333,-0.23034057783865225
2008-02-01,0.16403633330036646,-0.9362018637275231,-0.2779515388037364,-0.35151297643028806,0.33018667561051096
2008-03-01,1.893334892438,0.5528444306815838,-0.9850551179203603,0.0830707072342317,0.46981299996809395
2008-04-01,-1.8494293358174714,-0.270162486413961,-0.43708442031746625,0.19555036031876694,-0.5152904821220122
2008-05-01,-1.1603877412719736,-0.26061609968532734,-0.021579787444658036,-0.8809715705596238,-0.7019213067764837
2008-06-01,0.670880100057829,-0.172439478154761,0.8269774019870891,0.7933021431753609,0.3414360985984781
2008-07-01,-0.41643604392422695,0.3956776897207428,-0.13284797797533868,0.7126352071372591,-0.2983982235723764
2008-08-01,0.4184699098530516,-0.10790747702943045,-0.5488998430288019,-0.6911920943952524,0.3502935957520381
2008-09-01,6.869756359065291,0.20406090116291042,0.9231599301151513,-0.3718839046779961,-0.08107722253867591
2008-10-01,14.554081441928902,-0.15690799837965766,-3.6481153691863013,0.8335053910277606,-0.2301390131628721
2008-11-01,-3.574517329507128,-1.4160929832922897,0.3125021210773572,-1.4429909123119276,-2.146947777205438
2008-12-01,-1.7778924425385871,0.8960240917969484,-1.625042410491868,-1.53401639820183,0.8640322623820733
2009-01-01,-2.31656898395577,-0.6811813492753456,2.7766535657512588,-1.084969431738108,1.1116678357625456
2009-02-01,-1.7257302255182418,0.06139870823756708,0.879924513333216,0.9779817391399028,-0.8264453740348742
2009-03-01,-1.172705004328381,-0.13166796492732455,-0.05033746437023429,0.6301372717602598,0.6125325855466338
2009-04-01,-3.7142113133275836,-0.14225816149055576,-0.06629537467532523,0.00433662742223953,-1.1707153473388576
2009-05-01,-1.0912731891341239,0.21746000962015966,-0.22121345752906807,-1.920906412024234,1.3110657013502476
2009-06-01,-2.215395317058625,0.5577414159106392,0.650832732174691,0.7811016642461406,0.1740359623312804
2009-07-01,-1.0870132784273425,-0.23577918351469224,0.3402384426671104,0.08726030608115759,-0.1306749852665613
2009-08-01,-0.43168953854544584,-0.1912564134412204,0.34708882661761037,-0.3689270975033599,0.23442147720535866
2009-09-01,-0.6081018953516758,0.036076269831767836,0.31165266909747846,-0.12293761547826604,0.035211921541777255
2009-10-01,1.3998616007588816,-0.8428867383274048,0.2401123622089404,-0.6872799647772265,-0.25616519152028977
2009-11-01,-0.8343578049166936,0.6991328557823273,-0.5227253506813374,-0.16929369603342237,0.7051018708782153
2009-12-01,-0.6802582199304009,0.06916644394400755,-0.1513857313091017,-0.3010521699060633,0.12436648897132276
2010-01-01,-0.4904582445401847,0.18155356394364602,0.8183391198246697,0.5105121291708593,-0.4778853622755214
2010-02-01,-0.8156012772361616,0.3286688821574223,-0.700732602460293,0.2712338435683691,0.20624653551325717
2010-03-01,-1.5668072489034164,0.16758992698361824,0.41700513690447744,0.512513018298752,0.5224272896143964
2010-04-01,0.5174571893146789,-0.4701252965763709,0.4886531501965503,0.14018334459392118,-0.19869337589715655
2010-05-01,4.623384827236983,0.06468294583823601,0.003984499299207372,-0.5195849833212325,-0.24484251654612874
2010-06-01,-0.042428339891989984,-0.37577321507863387,0.2895816360624658,0.3431281672550805,-0.20242419791903069
2010-07-01,-3.2047402831284413,1.2052279170326212,-0.6668844485351494,0.945781493044912,-0.060879723344651505
2010-08-01,0.6357599269409536,-0.9025021788557009,0.1092064990382342,-0.48010263538551745,0.5863196670503723
2010-09-01,-0.9490867222116113,0.3706040116044076,0.11680413584802869,-0.02465175285666339,-0.14594172076904705
2010-10-01,0.6336875856614196,-0.181025233613078,-0.6044540949652264,-1.2137835506992443,0.19159870205900995
2010-11-01,0.2603333129725409,-0.09560794902171603,0.3649700390686784,0.05473369433976697,0.024047351439083115
2010-12-01,-1.0153277521067476,0.47854629841828167,-0.5694138319423917,-0.05583634778229886,0.18119540605100293
2011-01-01,-1.0119195927071276,-0.5168866111646213,0.416311827291502,0.7611012116927423,-0.4114427828385807
2011-02-01,-0.6461144659765533,-0.2871713512641699,-0.2748176548045257,0.27634990571352736,-0.5892788145231913
2011-03-01,-0.140513514087877,0.8499217629375477,0.3547053660039842,0.48172596880405955,0.992086319874917
2011-04-01,-0.22965154879686775,-0.17732102862685342,-0.44075813524118695,-0.6615254468610035,0.11706093605342142
2011-05-01,0.14760849200289855,-0.6424383212529061,-0.22428511041356744,0.10114895110902247,0.19023534246218984
2011-06-01,-0.06081752024233213,0.6973572504748669,0.35675128313755,0.5346440173383026,-0.4542399794483792
2011-07-01,1.365187500121886,-0.0795394632663302,1.4766049177368654,-0.2182038170469815,0.3372320189662094
2011-08-01,2.58234363428772,1.109021140417733,0.22075257694685668,0.6625260876524738,-0.9382122211978852
2011-09-01,4.095202357650102,-1.6895997968705019,0.09159534810053717,-2.065832316392373,-1.4979013868665778
2011-10-01,-3.375549848936925,0.4463700891333459,-1.2874073780976287,0.8992818061115051,0.5478978806607308
2011-11-01,0.90193943170917,0.6667798253071021,-0.5011593225792733,-0.40127006038216445,0.4534039185233989
2011-12-01,-1.488237633319412,0.007080069600250259,-0.31228593461779325,0.11941685276552252,-0.16675336401625482
2012-01-01,-2.4799448408849196,-0.1127651000812598,0.025283217906881393,1.1025395339333584,0.1939197231205955
2012-02-01,-0.8499771086232049,-0.2858039303108547,0.15177102585720856,-0.00763715197674838,0.29228040990107473
2012-03-01,-0.7081031008012794,-0.030975212635052613,-0.27661374912385495,-0.11739658310613094,0.1070171496626535
2012-04-01,-0.49357942868083465,-0.08347403715169105,0.3068414987955824,0.77418359722906,-0.34074090132230495
2012-05-01,3.2668240826721013,-0.11335717170383085,0.3096591639303335,-1.6704306663068378,-0.34752528666037447
2012-06-01,-2.137987394145637,1.2241861133692031,-0.31115693961084173,1.072532469873717,-0.07792953256986979
