Date,PC1_A,PC2_A,PC3_A
2006-02-01,-0.3827502177992746,0.08733483689690143,-0.1177212358341255
2006-03-01,-0.013002673619228751,-0.20419457796628987,0.027793495378320817
2006-04-01,0.20537079394408664,-0.07516125855286013,0.08455055410340531
2006-05-01,2.104140269297778,-0.3748086162711568,-0.7279379742526111
2006-06-01,-1.2647913516250993,0.0368308343077196,-0.08891477311563557
2006-07-01,-0.5691527010220914,0.8763392619119507,0.5497444641867418
2006-08-01,-0.47463040702597964,-0.287240703996559,0.043936383867039526
2006-09-01,-0.8712440740748287,0.38214204287581977,-0.6332859026335679
2006-10-01,-0.7480066253421565,0.3103508322077508,0.1873854716059209
2006-11-01,0.5930706279035106,-0.3555456724915045,0.4414672560464085
2006-12-01,-0.4258380269295622,0.3856558600821401,-0.20938675248536853
2007-01-01,-0.26273730896093644,-0.04881612325975994,0.26199621136289725
2007-02-01,0.5814314854667255,0.695963660580608,-0.37456738420043467
2007-03-01,-0.021342832166530115,-0.09464812530516752,0.43591842440956385
2007-04-01,-0.5656704400692331,0.24926889130075003,-0.11033674789698038
2007-05-01,-0.2926750323216006,-0.14714701890973222,-0.42651415151633326
2007-06-01,0.4212359057916899,0.42994403857303465,-0.10705967791947359
2007-07-01,1.4499596506918795,0.7926225996556471,0.4766987521089718
2007-08-01,1.3591537189874048,-0.8109103452011671,0.6050305311498463
2007-09-01,-1.2451401687340156,-0.4388783130874453,-0.12375539167832282
2007-10-01,0.4825852450706465,-0.22743105088587803,-0.21745559936528586
2007-11-01,1.6703944773361448,-0.015603753777586191,0.4872679786842361
2007-12-01,-0.21551007180111553,0.13139165468181954,0.48708508391474586
2008-01-01,0.8155896129183352,0.277038930294997,-0.2119571649655186
2008-02-01,0.4788221621952314,-0.18622577780073665,0.2909063077220237
2008-03-01,1.2332702570325609,-0.9293525799122889,0.4773476522561707
2008-04-01,-1.6858460205511834,-0.09406419347527636,-0.531505474614006
2008-05-01,-0.6037532702549292,-0.40176916095277276,-0.7337608400208834
2008-06-01,0.5072063337045198,1.117858041616935,0.37412033401038197
2008-07-01,-0.7683801883134034,0.22002869607273837,-0.27239241028796685
2008-08-01,0.5357738686837971,-0.8132408927964334,0.3234351192035322
2008-09-01,6.180176499466583,0.2575295076524561,-0.04515658195681251
