model_name,dependent_variable,explanatory_variables,coefficient_var1,std_error_var1,t_stat_var1,p_value_var1,coefficient_var2,std_error_var2,t_stat_var2,p_value_var2,r_squared,adjusted_r_squared,n_obs
dollar_log_return ~ vix_diff + STLFSI4_diff,dollar_log_return,vix_diff + STLFSI4_diff,0.00013305971324168646,0.0001707593813231086,0.7792234441861362,0.4358481021496873,0.009073201600456398,0.0016980469903013545,5.34331596962824,9.126147817844215e-08,0.17471533101211223,0.16772139313933354,239.0
dollar_log_return ~ vix_diff + gepu_diff,dollar_log_return,vix_diff + gepu_diff,0.000576068009763396,0.00022380743352701132,2.5739449342010814,0.010054627429219752,6.465570756338104e-05,2.4411456828607847e-05,2.6485804602866163,0.008083060571056708,0.09178898316666517,0.08405952770425384,238.0
dollar_log_return ~ vxy_g7_diff + STLFSI4_diff,dollar_log_return,vxy_g7_diff + STLFSI4_diff,0.0009289858862179362,0.0008808461984059929,1.0546516382758515,0.29158467765048024,0.00844277670834303,0.001690283535853962,4.994887857129595,5.886996569319407e-07,0.17621610164143475,0.16923488216381977,239.0
dollar_log_return ~ vxy_g7_diff + gepu_diff,dollar_log_return,vxy_g7_diff + gepu_diff,0.003332972571272801,0.0011159553300069843,2.986654108504452,0.002820486411097183,4.682334851689456e-05,2.3104894588883316e-05,2.0265553836122296,0.04270790331699098,0.11805472582007648,0.1105488085930133,238.0
dollar_log_return ~ vxy_em_diff + STLFSI4_diff,dollar_log_return,vxy_em_diff + STLFSI4_diff,0.0032169752426767255,0.000836171224957903,3.84726853383251,0.00011944203196080477,0.004744368757167914,0.0019637284575261486,2.416000409315624,0.01569204370694308,0.23696750394813948,0.2305011268629542,239.0
dollar_log_return ~ vxy_em_diff + gepu_diff,dollar_log_return,vxy_em_diff + gepu_diff,0.004294848718547531,0.0007427937435701069,5.782020588791041,7.380867187914578e-09,3.811143586963322e-05,2.0148153385642855e-05,1.8915597444672334,0.05854966370911044,0.22674363330221026,0.2201627280537184,238.0
