model_name,dependent_variable,explanatory_variables,coefficient_main_proxy,p_value_main_proxy,coefficient_crisis_dummy,p_value_crisis_dummy,coefficient_interaction,p_value_interaction,r_squared,adjusted_r_squared,n_obs
ΔVIX × GFC,dollar_log_return,vix_diff + GFC_dummy + vix_diff:GFC_dummy,0.00026103023209677245,0.08449175216522171,0.007376242526667425,0.23872394202918112,0.001817698881975033,4.0031795817346047e-05,0.1465041148445796,0.13560842269365936,239.0
ΔVIX × COVID,dollar_log_return,vix_diff + COVID_dummy + vix_diff:COVID_dummy,0.0006412451266050512,0.023969366733317177,0.00399802645519586,0.480165760126563,-0.00041057306837180986,0.24213064749182478,0.059074550663780645,0.04706273641693537,239.0
ΔVXY_G7 × GFC,dollar_log_return,vxy_g7_diff + GFC_dummy + vxy_g7_diff:GFC_dummy,0.002531575273688537,0.0066460742966929515,0.0062865510072221565,0.36880542996431565,0.002688512463407888,0.06743714519696141,0.1239263257287172,0.11274240648270095,239.0
ΔVXY_G7 × COVID,dollar_log_return,vxy_g7_diff + COVID_dummy + vxy_g7_diff:COVID_dummy,0.003654512449993821,0.0019445333238614392,0.003663689489767156,0.48858056605959466,-0.00016177842709209867,0.942787504641594,0.10092598546838516,0.08944844485734338,239.0
ΔVXY_EM × GFC,dollar_log_return,vxy_em_diff + GFC_dummy + vxy_em_diff:GFC_dummy,0.0036850569472365257,1.055542287435664e-06,0.005186963384707791,0.33071396702489886,0.0019140502214598618,0.04566234472643227,0.2299866261210799,0.22015666815666823,239.0
ΔVXY_EM × COVID,dollar_log_return,vxy_em_diff + COVID_dummy + vxy_em_diff:COVID_dummy,0.004364895576976519,3.00146748682003e-08,-4.638833937488493e-05,0.992206990906144,0.0026171331675932477,0.12156801151133441,0.21549888411489304,0.20548397625253,239.0
