model_name,coefficient,standard_error,t_statistic,p_value,r_squared,adjusted_r_squared,n_obs
dollar_log_return ~ PC1_A,0.0034005866946511453,0.0007449984084092633,4.56455565041025,5.00553411539375e-06,0.15001829151008927,0.14643187079916142,239.0
dollar_log_return ~ PC1_B,0.003340311460590513,0.0005121090712886156,6.522656300903471,6.90730213937797e-11,0.17989557488811536,0.17643521866401457,239.0
dollar_log_return ~ PC1_C,0.003388496130034336,0.0004798437864130199,7.061665120985286,1.645190905393838e-12,0.1890190248720025,0.18558266480790087,238.0
