component,explained_variance_ratio,cumulative_explained_variance
PC1,0.5827394839466937,0.5827394839466937
PC2,0.20181166039223486,0.7845511443389286
PC3,0.0965734424705046,0.8811245868094332
PC4,0.074657709593754,0.9557822964031871
PC5,0.04421770359681274,0.9999999999999999
