component,explained_variance_ratio,cumulative_explained_variance
PC1,0.7124548204086653,0.7124548204086653
PC2,0.13816786030608794,0.8506226807147532
PC3,0.0938498881761029,0.9444725688908562
PC4,0.05552743110914387,1.0
