,PC1,PC2,PC3
vix_diff,0.5362793281658774,0.8333184409076866,-0.1341076367144591
vxy_g7_diff,0.60530298975334,-0.26897472330890365,0.7491734704436389
vxy_em_diff,0.5882285038806115,-0.4829419988612304,-0.6486557276077166
